task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5123	6d/aa708b	6404064	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:13.482	1m 37s	3s	97.0%	82.6 MB	187.2 MB	335.5 MB	38.5 MB
5117	e0/e9027f	6404061	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:10.483	1m 40s	13s	97.5%	135.6 MB	245.6 MB	375.7 MB	60.1 MB
5122	2e/bbd59c	6404065	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:14.482	1m 36s	2s	97.3%	3.1 MB	5.5 MB	299.2 MB	2.9 MB
5125	12/9cdfff	6404068	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:17.492	1m 33s	19s	98.0%	139.3 MB	248.8 MB	440.3 MB	114.7 MB
5119	f6/803861	6404066	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:15.484	1m 35s	2s	95.1%	113.9 MB	217.7 MB	306.5 MB	10.9 MB
5129	b7/4a7f87	6404072	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:20.483	1m 30s	2s	95.3%	116.8 MB	222.1 MB	303.9 MB	7.6 MB
5124	a9/2d00ef	6404071	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:19.483	1m 31s	1s	96.6%	3.2 MB	5.5 MB	291.8 MB	314.6 KB
5121	7f/47928d	6404070	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:18.484	1m 32s	2s	95.3%	116.6 MB	222.1 MB	306.2 MB	9.8 MB
5131	dd/94589d	6404073	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:21.482	1m 29s	3s	97.0%	122.4 MB	232.8 MB	325.3 MB	27.8 MB
5128	04/2614a3	6404074	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:22.482	1m 28s	2s	95.4%	40.5 MB	87 MB	294.8 MB	2.9 MB
5132	ab/5f1e2f	6404075	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:23.481	1m 27s	2s	94.9%	115.7 MB	221.6 MB	300.5 MB	5.3 MB
5130	7e/b430a1	6404077	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:25.483	1m 25s	1s	96.4%	111.3 MB	177.8 MB	316.1 MB	19.5 MB
5133	f9/ed6598	6404076	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:24.482	1m 26s	2s	96.2%	110.9 MB	176.6 MB	304.6 MB	7.7 MB
5135	63/d71171	6404079	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:27.482	1m 23s	6s	97.1%	131.2 MB	241.4 MB	372.3 MB	71.3 MB
5134	3d/291c30	6404078	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:26.482	1m 24s	4s	97.6%	121.9 MB	233 MB	350.1 MB	49.8 MB
5136	9e/4d9fa0	6404081	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:29.483	1m 21s	24s	98.2%	148.9 MB	256.7 MB	452.8 MB	119.6 MB
5127	50/95755b	6404082	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:30.483	1m 20s	4s	97.2%	119.5 MB	224.9 MB	373.3 MB	71.8 MB
5139	12/81732e	6404084	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:32.484	1m 18s	1s	96.9%	3.2 MB	5.5 MB	303.3 MB	7 MB
